"from_name","to_name","level","from","to","title"
"elec_gas (steam/CT)","electricity","1",82,90,"supplemental info"
"elec_geothermal","electricity","1",83,90,"supplemental info"
"water_td_elec_C","electricity","1",69,90,"supplemental info"
"elec_Gen_III","electricity","1",84,90,"supplemental info"
"elec_refined liquids (CC)","electricity","1",85,90,"supplemental info"
"elec_refined liquids (steam/CT)","electricity","1",86,90,"supplemental info"
"elec_CSP","electricity","1",87,90,"supplemental info"
"elec_CSP_storage","electricity","1",88,90,"supplemental info"
"backup_electricity","electricity","1",75,90,"supplemental info"
"global solar resource","electricity","1",46,90,"supplemental info"
"water_td_elec_W","electricity","1",70,90,"supplemental info"
"onshore wind resource","electricity","1",47,90,"supplemental info"
"offshore wind resource","electricity","1",89,90,"supplemental info"
"electricity","electricity_net_ownuse","1",90,74,"supplemental info"
"gas processing","gas pipeline","1",91,67,"supplemental info"
"regional biomass","gas processing","1",41,91,"supplemental info"
"regional coal","gas processing","1",42,91,"supplemental info"
"regional natural gas","gas processing","1",44,91,"supplemental info"
"delivered biomass","industrial energy use","1",65,94,"supplemental info"
"delivered coal","industrial energy use","1",63,94,"supplemental info"
"elect_td_ind","industrial energy use","1",43,94,"supplemental info"
"wholesale gas","industrial energy use","1",53,94,"supplemental info"
"H2 enduse","industrial energy use","1",92,94,"supplemental info"
"refined liquids industrial","industrial energy use","1",9,94,"supplemental info"
"wholesale gas","industrial feedstocks","1",53,95,"supplemental info"
"oil-credits","industrial feedstocks","1",73,95,"supplemental info"
"refined liquids industrial","industrial feedstocks","1",9,95,"supplemental info"
"misc emissions sources","industrial processes","1",93,96,"supplemental info"
"industrial energy use","industry","1",94,217,"supplemental info"
"industrial feedstocks","industry","1",95,217,"supplemental info"
"industrial processes","industry","1",96,217,"supplemental info"
"water_td_ind_C","industry","1",97,217,"supplemental info"
"water_td_ind_W","industry","1",98,217,"supplemental info"
"water_td_dom_C","municipal water","1",99,218,"supplemental info"
"water_td_dom_W","municipal water","1",100,218,"supplemental info"
"seawater","nuclearFuelGenIII","1",71,45,"supplemental info"
"uranium","nuclearFuelGenIII","1",101,45,"supplemental info"
"water_td_pri_C","nuclearFuelGenIII","1",102,45,"supplemental info"
"water_td_pri_W","nuclearFuelGenIII","1",103,45,"supplemental info"
"delivered biomass","process heat cement","1",65,61,"supplemental info"
"delivered coal","process heat cement","1",63,61,"supplemental info"
"wholesale gas","process heat cement","1",53,61,"supplemental info"
"refined liquids industrial","process heat cement","1",9,61,"supplemental info"
"regional refined oil","refined liquids enduse","1",104,64,"supplemental info"
"trn_freight","refined liquids enduse","1",13,64,"supplemental info"
"regional corn ethanol","refined liquids gasoline pool","1",105,174,"supplemental info"
"trn_freight","refined liquids gasoline pool","1",13,174,"supplemental info"
"regional sugar cane ethanol","refined liquids gasoline pool","1",106,174,"supplemental info"
"regional refined oil","refined liquids gasoline pool","1",104,174,"supplemental info"
"regional refined oil","refined liquids industrial","1",104,9,"supplemental info"
"trn_freight","refined liquids industrial","1",13,9,"supplemental info"
"regional coal","refining","1",42,151,"supplemental info"
"regional natural gas","refining","1",44,151,"supplemental info"
"elect_td_ind","refining","1",43,151,"supplemental info"
"regional oil","refining","1",107,151,"supplemental info"
"wholesale gas","refining","1",53,151,"supplemental info"
"DDGS","regional DDGS","1",108,14,"supplemental info"
"traded DDGS","regional DDGS","1",109,14,"supplemental info"
"Beef","regional beef","1",110,29,"supplemental info"
"traded beef","regional beef","1",111,29,"supplemental info"
"total biomass","regional biomass","1",112,41,"supplemental info"
"trn_freight","regional biomass","1",13,41,"supplemental info"
"coal","regional coal","1",113,42,"supplemental info"
"seawater","regional coal","1",71,42,"supplemental info"
"trn_freight","regional coal","1",13,42,"supplemental info"
"water_td_pri_C","regional coal","1",102,42,"supplemental info"
"water_td_pri_W","regional coal","1",103,42,"supplemental info"
"Corn","regional corn","1",114,12,"supplemental info"
"traded corn","regional corn","1",115,12,"supplemental info"
"trn_shipping_intl","regional corn","1",116,12,"supplemental info"
"corn ethanol","regional corn ethanol","1",117,105,"supplemental info"
"traded corn ethanol","regional corn ethanol","1",118,105,"supplemental info"
"regional corn","regional corn for ethanol","1",12,66,"supplemental info"
"Dairy","regional dairy","1",119,34,"supplemental info"
"traded dairy","regional dairy","1",120,34,"supplemental info"
"FiberCrop","regional fibercrop","1",121,15,"supplemental info"
"traded fibercrop","regional fibercrop","1",122,15,"supplemental info"
"trn_shipping_intl","regional fibercrop","1",116,15,"supplemental info"
"MiscCrop","regional misccrop","1",123,16,"supplemental info"
"traded misccrop","regional misccrop","1",124,16,"supplemental info"
"trn_shipping_intl","regional misccrop","1",116,16,"supplemental info"
"natural gas","regional natural gas","1",125,44,"supplemental info"
"seawater","regional natural gas","1",71,44,"supplemental info"
"water_td_pri_C","regional natural gas","1",102,44,"supplemental info"
"water_td_pri_W","regional natural gas","1",103,44,"supplemental info"
"crude oil","regional oil","1",126,107,"supplemental info"
"seawater","regional oil","1",71,107,"supplemental info"
"trn_shipping_intl","regional oil","1",116,107,"supplemental info"
"water_td_pri_C","regional oil","1",102,107,"supplemental info"
"water_td_pri_W","regional oil","1",103,107,"supplemental info"
"traded unconventional oil","regional oil","1",127,107,"supplemental info"
"OilCrop","regional oilcrop","1",128,17,"supplemental info"
"traded oilcrop","regional oilcrop","1",129,17,"supplemental info"
"trn_shipping_intl","regional oilcrop","1",116,17,"supplemental info"
"OilCrop feedcake","regional oilcrop feedcake","1",130,18,"supplemental info"
"traded oilcrop feedcake","regional oilcrop feedcake","1",131,18,"supplemental info"
"OilCrop oil","regional oilcrop oil","1",132,30,"supplemental info"
"traded oilcrop oil","regional oilcrop oil","1",133,30,"supplemental info"
"OtherGrain","regional othergrain","1",134,19,"supplemental info"
"traded othergrain","regional othergrain","1",135,19,"supplemental info"
"trn_shipping_intl","regional othergrain","1",116,19,"supplemental info"
"PalmFruit","regional palmfruit","1",136,36,"supplemental info"
"PalmFruit feedcake","regional palmfruit feedcake","1",137,54,"supplemental info"
"traded palmfruit feedcake","regional palmfruit feedcake","1",138,54,"supplemental info"
"PalmFruit oil","regional palmfruit oil","1",139,31,"supplemental info"
"traded palmfruit oil","regional palmfruit oil","1",140,31,"supplemental info"
"pork","regional pork","1",141,37,"supplemental info"
"traded pork","regional pork","1",142,37,"supplemental info"
"poultry","regional poultry","1",143,38,"supplemental info"
"traded poultry","regional poultry","1",144,38,"supplemental info"
"Rapeseed","regional rapeseed","1",145,39,"supplemental info"
"traded rapeseed","regional rapeseed","1",146,39,"supplemental info"
"trn_shipping_intl","regional rapeseed","1",116,39,"supplemental info"
"Rapeseed feedcake","regional rapeseed feedcake","1",147,20,"supplemental info"
"traded rapeseed feedcake","regional rapeseed feedcake","1",148,20,"supplemental info"
"Rapeseed oil","regional rapeseed oil","1",149,32,"supplemental info"
"traded rapeseed oil","regional rapeseed oil","1",150,32,"supplemental info"
"refining","regional refined oil","1",151,104,"supplemental info"
"traded refined oil","regional refined oil","1",152,104,"supplemental info"
"Rice","regional rice","1",153,21,"supplemental info"
"traded rice","regional rice","1",154,21,"supplemental info"
"trn_shipping_intl","regional rice","1",116,21,"supplemental info"
"RootTuber","regional root_tuber","1",155,22,"supplemental info"
"traded root_tuber","regional root_tuber","1",156,22,"supplemental info"
"trn_shipping_intl","regional root_tuber","1",116,22,"supplemental info"
"SheepGoat","regional sheepgoat","1",157,40,"supplemental info"
"traded sheepgoat","regional sheepgoat","1",158,40,"supplemental info"
"Soybean","regional soybean","1",159,23,"supplemental info"
"traded soybean","regional soybean","1",160,23,"supplemental info"
"trn_shipping_intl","regional soybean","1",116,23,"supplemental info"
"Soybean feedcake","regional soybean feedcake","1",161,24,"supplemental info"
"traded soybean feedcake","regional soybean feedcake","1",162,24,"supplemental info"
"Soybean oil","regional soybean oil","1",163,33,"supplemental info"
"traded soybean oil","regional soybean oil","1",164,33,"supplemental info"
"traded sugar cane ethanol","regional sugar cane ethanol","1",165,106,"supplemental info"
"SugarCrop","regional sugarcrop","1",166,25,"supplemental info"
"traded sugarcrop","regional sugarcrop","1",167,25,"supplemental info"
"trn_shipping_intl","regional sugarcrop","1",116,25,"supplemental info"
"Wheat","regional wheat","1",168,26,"supplemental info"
"traded wheat","regional wheat","1",169,26,"supplemental info"
"trn_shipping_intl","regional wheat","1",116,26,"supplemental info"
"elect_td_bld","resid cooling","1",62,219,"supplemental info"
"traditional biomass","resid heating","1",170,220,"supplemental info"
"delivered biomass","resid others","1",65,221,"supplemental info"
"delivered coal","resid others","1",63,221,"supplemental info"
"elect_td_bld","resid others","1",62,221,"supplemental info"
"refined liquids enduse","resid others","1",64,221,"supplemental info"
"traditional biomass","resid others","1",170,221,"supplemental info"
"biomass","total biomass","1",171,112,"supplemental info"
"traded biomass","total biomass","1",172,112,"supplemental info"
"elect_td_trn","trn_aviation_intl","1",51,222,"supplemental info"
"H2 enduse","trn_aviation_intl","1",92,222,"supplemental info"
"refined liquids enduse","trn_aviation_intl","1",64,222,"supplemental info"
"elect_td_trn","trn_freight","1",51,13,"supplemental info"
"H2 enduse","trn_freight","1",92,13,"supplemental info"
"refined liquids enduse","trn_freight","1",64,13,"supplemental info"
"delivered coal","trn_freight","1",63,13,"supplemental info"
"trn_freight_road","trn_freight","1",173,13,"supplemental info"
"elect_td_trn","trn_freight_road","1",51,173,"supplemental info"
"H2 enduse","trn_freight_road","1",92,173,"supplemental info"
"refined liquids enduse","trn_freight_road","1",64,173,"supplemental info"
"delivered gas","trn_freight_road","1",52,173,"supplemental info"
"refined liquids gasoline pool","trn_freight_road","1",174,173,"supplemental info"
"renewable","trn_pass","1",175,223,"supplemental info"
"elect_td_trn","trn_pass","1",51,223,"supplemental info"
"H2 enduse","trn_pass","1",92,223,"supplemental info"
"refined liquids enduse","trn_pass","1",64,223,"supplemental info"
"trn_pass_road","trn_pass","1",176,223,"supplemental info"
"elect_td_trn","trn_pass_road","1",51,176,"supplemental info"
"H2 enduse","trn_pass_road","1",92,176,"supplemental info"
"refined liquids enduse","trn_pass_road","1",64,176,"supplemental info"
"delivered gas","trn_pass_road","1",52,176,"supplemental info"
"trn_pass_road_LDV","trn_pass_road","1",177,176,"supplemental info"
"elect_td_trn","trn_pass_road_LDV","1",51,177,"supplemental info"
"refined liquids enduse","trn_pass_road_LDV","1",64,177,"supplemental info"
"trn_pass_road_LDV_4W","trn_pass_road_LDV","1",178,177,"supplemental info"
"elect_td_trn","trn_pass_road_LDV_4W","1",51,178,"supplemental info"
"H2 enduse","trn_pass_road_LDV_4W","1",92,178,"supplemental info"
"refined liquids gasoline pool","trn_pass_road_LDV_4W","1",174,178,"supplemental info"
"delivered gas","trn_pass_road_LDV_4W","1",52,178,"supplemental info"
"elect_td_trn","trn_shipping_intl","1",51,116,"supplemental info"
"H2 enduse","trn_shipping_intl","1",92,116,"supplemental info"
"refined liquids enduse","trn_shipping_intl","1",64,116,"supplemental info"
"regional natural gas","unconventional oil production","1",44,206,"supplemental info"
"seawater","unconventional oil production","1",71,206,"supplemental info"
"unconventional oil","unconventional oil production","1",179,206,"supplemental info"
"water_td_pri_C","unconventional oil production","1",102,206,"supplemental info"
"water_td_pri_W","unconventional oil production","1",103,206,"supplemental info"
"misc emissions sources","urban processes","1",93,224,"supplemental info"
