"from_name","to_name","level","from","to","title"
"FeedCrops","Beef","1",1,110,"supplemental info"
"water_td_an_C","Beef","1",2,110,"supplemental info"
"water_td_an_W","Beef","1",3,110,"supplemental info"
"FodderHerb_Residue","Beef","1",4,110,"supplemental info"
"Pasture_FodderGrass","Beef","1",5,110,"supplemental info"
"Scavenging_Other","Beef","1",6,110,"supplemental info"
"N fertilizer","Corn","1",7,114,"supplemental info"
"biophysical water consumption","Corn","1",8,114,"supplemental info"
"refined liquids industrial","Corn","1",9,114,"supplemental info"
"water_td_irr_X_C","Corn","1",10,114,"supplemental info"
"water_td_irr_X_W","Corn","1",11,114,"supplemental info"
"FeedCrops","Dairy","1",1,119,"supplemental info"
"water_td_an_C","Dairy","1",2,119,"supplemental info"
"water_td_an_W","Dairy","1",3,119,"supplemental info"
"FodderHerb_Residue","Dairy","1",4,119,"supplemental info"
"Pasture_FodderGrass","Dairy","1",5,119,"supplemental info"
"Scavenging_Other","Dairy","1",6,119,"supplemental info"
"regional corn","FeedCrops","1",12,1,"supplemental info"
"trn_freight","FeedCrops","1",13,1,"supplemental info"
"regional DDGS","FeedCrops","1",14,1,"supplemental info"
"regional fibercrop","FeedCrops","1",15,1,"supplemental info"
"regional misccrop","FeedCrops","1",16,1,"supplemental info"
"regional oilcrop","FeedCrops","1",17,1,"supplemental info"
"regional oilcrop feedcake","FeedCrops","1",18,1,"supplemental info"
"regional othergrain","FeedCrops","1",19,1,"supplemental info"
"regional rapeseed feedcake","FeedCrops","1",20,1,"supplemental info"
"regional rice","FeedCrops","1",21,1,"supplemental info"
"regional root_tuber","FeedCrops","1",22,1,"supplemental info"
"regional soybean","FeedCrops","1",23,1,"supplemental info"
"regional soybean feedcake","FeedCrops","1",24,1,"supplemental info"
"regional sugarcrop","FeedCrops","1",25,1,"supplemental info"
"regional wheat","FeedCrops","1",26,1,"supplemental info"
"N fertilizer","FiberCrop","1",7,121,"supplemental info"
"biophysical water consumption","FiberCrop","1",8,121,"supplemental info"
"refined liquids industrial","FiberCrop","1",9,121,"supplemental info"
"water_td_irr_X_C","FiberCrop","1",10,121,"supplemental info"
"water_td_irr_X_W","FiberCrop","1",11,121,"supplemental info"
"N fertilizer","FodderGrass","1",7,56,"supplemental info"
"refined liquids industrial","FodderGrass","1",9,56,"supplemental info"
"N fertilizer","FodderHerb","1",7,27,"supplemental info"
"biophysical water consumption","FodderHerb","1",8,27,"supplemental info"
"refined liquids industrial","FodderHerb","1",9,27,"supplemental info"
"water_td_irr_X_C","FodderHerb","1",10,27,"supplemental info"
"water_td_irr_X_W","FodderHerb","1",11,27,"supplemental info"
"FodderHerb","FodderHerb_Residue","1",27,4,"supplemental info"
"Residue","FodderHerb_Residue","1",28,4,"supplemental info"
"regional beef","FoodDemand_NonStaples","1",29,207,"supplemental info"
"regional oilcrop oil","FoodDemand_NonStaples","1",30,207,"supplemental info"
"trn_freight","FoodDemand_NonStaples","1",13,207,"supplemental info"
"regional palmfruit oil","FoodDemand_NonStaples","1",31,207,"supplemental info"
"regional rapeseed oil","FoodDemand_NonStaples","1",32,207,"supplemental info"
"regional soybean oil","FoodDemand_NonStaples","1",33,207,"supplemental info"
"regional dairy","FoodDemand_NonStaples","1",34,207,"supplemental info"
"regional fibercrop","FoodDemand_NonStaples","1",15,207,"supplemental info"
"regional misccrop","FoodDemand_NonStaples","1",16,207,"supplemental info"
"regional oilcrop","FoodDemand_NonStaples","1",17,207,"supplemental info"
"OtherMeat_Fish","FoodDemand_NonStaples","1",35,207,"supplemental info"
"regional palmfruit","FoodDemand_NonStaples","1",36,207,"supplemental info"
"regional pork","FoodDemand_NonStaples","1",37,207,"supplemental info"
"regional poultry","FoodDemand_NonStaples","1",38,207,"supplemental info"
"regional rapeseed","FoodDemand_NonStaples","1",39,207,"supplemental info"
"regional sheepgoat","FoodDemand_NonStaples","1",40,207,"supplemental info"
"regional soybean","FoodDemand_NonStaples","1",23,207,"supplemental info"
"regional sugarcrop","FoodDemand_NonStaples","1",25,207,"supplemental info"
"regional corn","FoodDemand_Staples","1",12,208,"supplemental info"
"trn_freight","FoodDemand_Staples","1",13,208,"supplemental info"
"regional othergrain","FoodDemand_Staples","1",19,208,"supplemental info"
"regional rice","FoodDemand_Staples","1",21,208,"supplemental info"
"regional root_tuber","FoodDemand_Staples","1",22,208,"supplemental info"
"regional wheat","FoodDemand_Staples","1",26,208,"supplemental info"
"regional biomass","H2 central production","1",41,48,"supplemental info"
"regional coal","H2 central production","1",42,48,"supplemental info"
"elect_td_ind","H2 central production","1",43,48,"supplemental info"
"regional natural gas","H2 central production","1",44,48,"supplemental info"
"nuclearFuelGenIII","H2 central production","1",45,48,"supplemental info"
"global solar resource","H2 central production","1",46,48,"supplemental info"
"onshore wind resource","H2 central production","1",47,48,"supplemental info"
"H2 central production","H2 distribution","1",48,49,"supplemental info"
"H2 distribution","H2 enduse","1",49,92,"supplemental info"
"H2 forecourt production","H2 enduse","1",50,92,"supplemental info"
"elect_td_trn","H2 forecourt production","1",51,50,"supplemental info"
"delivered gas","H2 forecourt production","1",52,50,"supplemental info"
"N fertilizer","MiscCrop","1",7,123,"supplemental info"
"biophysical water consumption","MiscCrop","1",8,123,"supplemental info"
"refined liquids industrial","MiscCrop","1",9,123,"supplemental info"
"water_td_irr_X_C","MiscCrop","1",10,123,"supplemental info"
"water_td_irr_X_W","MiscCrop","1",11,123,"supplemental info"
"wholesale gas","N fertilizer","1",53,7,"supplemental info"
"refined liquids industrial","N fertilizer","1",9,7,"supplemental info"
"regional corn","NonFoodDemand_Crops","1",12,209,"supplemental info"
"trn_freight","NonFoodDemand_Crops","1",13,209,"supplemental info"
"regional fibercrop","NonFoodDemand_Crops","1",15,209,"supplemental info"
"regional misccrop","NonFoodDemand_Crops","1",16,209,"supplemental info"
"regional oilcrop","NonFoodDemand_Crops","1",17,209,"supplemental info"
"regional oilcrop feedcake","NonFoodDemand_Crops","1",18,209,"supplemental info"
"regional oilcrop oil","NonFoodDemand_Crops","1",30,209,"supplemental info"
"regional othergrain","NonFoodDemand_Crops","1",19,209,"supplemental info"
"regional palmfruit","NonFoodDemand_Crops","1",36,209,"supplemental info"
"regional palmfruit feedcake","NonFoodDemand_Crops","1",54,209,"supplemental info"
"regional palmfruit oil","NonFoodDemand_Crops","1",31,209,"supplemental info"
"regional rapeseed","NonFoodDemand_Crops","1",39,209,"supplemental info"
"regional rapeseed feedcake","NonFoodDemand_Crops","1",20,209,"supplemental info"
"regional rapeseed oil","NonFoodDemand_Crops","1",32,209,"supplemental info"
"regional rice","NonFoodDemand_Crops","1",21,209,"supplemental info"
"regional root_tuber","NonFoodDemand_Crops","1",22,209,"supplemental info"
"regional soybean","NonFoodDemand_Crops","1",23,209,"supplemental info"
"regional soybean feedcake","NonFoodDemand_Crops","1",24,209,"supplemental info"
"regional soybean oil","NonFoodDemand_Crops","1",33,209,"supplemental info"
"regional sugarcrop","NonFoodDemand_Crops","1",25,209,"supplemental info"
"regional wheat","NonFoodDemand_Crops","1",26,209,"supplemental info"
"Forest","NonFoodDemand_Forest","1",55,210,"supplemental info"
"regional beef","NonFoodDemand_Meat","1",29,211,"supplemental info"
"regional dairy","NonFoodDemand_Meat","1",34,211,"supplemental info"
"OtherMeat_Fish","NonFoodDemand_Meat","1",35,211,"supplemental info"
"regional pork","NonFoodDemand_Meat","1",37,211,"supplemental info"
"regional poultry","NonFoodDemand_Meat","1",38,211,"supplemental info"
"regional sheepgoat","NonFoodDemand_Meat","1",40,211,"supplemental info"
"N fertilizer","OilCrop","1",7,128,"supplemental info"
"biophysical water consumption","OilCrop","1",8,128,"supplemental info"
"refined liquids industrial","OilCrop","1",9,128,"supplemental info"
"water_td_irr_X_C","OilCrop","1",10,128,"supplemental info"
"water_td_irr_X_W","OilCrop","1",11,128,"supplemental info"
"regional oilcrop","OilCrop oil","1",17,132,"supplemental info"
"N fertilizer","OtherGrain","1",7,134,"supplemental info"
"biophysical water consumption","OtherGrain","1",8,134,"supplemental info"
"refined liquids industrial","OtherGrain","1",9,134,"supplemental info"
"water_td_irr_X_C","OtherGrain","1",10,134,"supplemental info"
"water_td_irr_X_W","OtherGrain","1",11,134,"supplemental info"
"N fertilizer","PalmFruit","1",7,136,"supplemental info"
"refined liquids industrial","PalmFruit","1",9,136,"supplemental info"
"regional palmfruit","PalmFruit oil","1",36,139,"supplemental info"
"FodderGrass","Pasture_FodderGrass","1",56,5,"supplemental info"
"Pasture","Pasture_FodderGrass","1",57,5,"supplemental info"
"FeedCrops","pork","1",1,141,"supplemental info"
"water_td_an_C","pork","1",2,141,"supplemental info"
"water_td_an_W","pork","1",3,141,"supplemental info"
"FodderHerb_Residue","pork","1",4,141,"supplemental info"
"Scavenging_Other","pork","1",6,141,"supplemental info"
"FeedCrops","poultry","1",1,143,"supplemental info"
"water_td_an_C","poultry","1",2,143,"supplemental info"
"water_td_an_W","poultry","1",3,143,"supplemental info"
"FodderHerb_Residue","poultry","1",4,143,"supplemental info"
"Scavenging_Other","poultry","1",6,143,"supplemental info"
"N fertilizer","Rapeseed","1",7,145,"supplemental info"
"biophysical water consumption","Rapeseed","1",8,145,"supplemental info"
"refined liquids industrial","Rapeseed","1",9,145,"supplemental info"
"regional rapeseed","Rapeseed oil","1",39,149,"supplemental info"
"N fertilizer","Rice","1",7,153,"supplemental info"
"biophysical water consumption","Rice","1",8,153,"supplemental info"
"refined liquids industrial","Rice","1",9,153,"supplemental info"
"water_td_irr_X_C","Rice","1",10,153,"supplemental info"
"water_td_irr_X_W","Rice","1",11,153,"supplemental info"
"N fertilizer","RootTuber","1",7,155,"supplemental info"
"biophysical water consumption","RootTuber","1",8,155,"supplemental info"
"refined liquids industrial","RootTuber","1",9,155,"supplemental info"
"water_td_irr_X_C","RootTuber","1",10,155,"supplemental info"
"water_td_irr_X_W","RootTuber","1",11,155,"supplemental info"
"Scavenging_Other_Rsrc","Scavenging_Other","1",58,6,"supplemental info"
"FeedCrops","SheepGoat","1",1,157,"supplemental info"
"water_td_an_C","SheepGoat","1",2,157,"supplemental info"
"water_td_an_W","SheepGoat","1",3,157,"supplemental info"
"FodderHerb_Residue","SheepGoat","1",4,157,"supplemental info"
"Pasture_FodderGrass","SheepGoat","1",5,157,"supplemental info"
"Scavenging_Other","SheepGoat","1",6,157,"supplemental info"
"refined liquids industrial","Soybean","1",9,159,"supplemental info"
"N fertilizer","Soybean","1",7,159,"supplemental info"
"biophysical water consumption","Soybean","1",8,159,"supplemental info"
"water_td_irr_X_C","Soybean","1",10,159,"supplemental info"
"water_td_irr_X_W","Soybean","1",11,159,"supplemental info"
"regional soybean","Soybean oil","1",23,163,"supplemental info"
"N fertilizer","SugarCrop","1",7,166,"supplemental info"
"biophysical water consumption","SugarCrop","1",8,166,"supplemental info"
"refined liquids industrial","SugarCrop","1",9,166,"supplemental info"
"water_td_irr_X_C","SugarCrop","1",10,166,"supplemental info"
"water_td_irr_X_W","SugarCrop","1",11,166,"supplemental info"
"land-input","UnmanagedLand","1",59,212,"supplemental info"
"N fertilizer","Wheat","1",7,168,"supplemental info"
"biophysical water consumption","Wheat","1",8,168,"supplemental info"
"refined liquids industrial","Wheat","1",9,168,"supplemental info"
"water_td_irr_X_C","Wheat","1",10,168,"supplemental info"
"water_td_irr_X_W","Wheat","1",11,168,"supplemental info"
"wholesale gas","backup_electricity","1",53,75,"supplemental info"
"N fertilizer","biomass","1",7,171,"supplemental info"
"biophysical water consumption","biomass","1",8,171,"supplemental info"
"refined liquids industrial","biomass","1",9,171,"supplemental info"
"water_td_irr_X_C","biomass","1",10,171,"supplemental info"
"water_td_irr_X_W","biomass","1",11,171,"supplemental info"
"elect_td_ind","cement","1",43,213,"supplemental info"
"limestone","cement","1",60,213,"supplemental info"
"process heat cement","cement","1",61,213,"supplemental info"
"elect_td_bld","comm cooling","1",62,214,"supplemental info"
"delivered coal","comm heating","1",63,215,"supplemental info"
"refined liquids enduse","comm heating","1",64,215,"supplemental info"
"delivered biomass","comm others","1",65,216,"supplemental info"
"delivered coal","comm others","1",63,216,"supplemental info"
"elect_td_bld","comm others","1",62,216,"supplemental info"
"delivered gas","comm others","1",52,216,"supplemental info"
"refined liquids enduse","comm others","1",64,216,"supplemental info"
"elect_td_ind","corn ethanol","1",43,117,"supplemental info"
"regional corn for ethanol","corn ethanol","1",66,117,"supplemental info"
"wholesale gas","corn ethanol","1",53,117,"supplemental info"
"wholesale gas","csp_backup","1",53,68,"supplemental info"
"regional biomass","delivered biomass","1",41,65,"supplemental info"
"regional coal","delivered coal","1",42,63,"supplemental info"
"gas pipeline","delivered gas","1",67,52,"supplemental info"
"csp_backup","elec_CSP","1",68,87,"supplemental info"
"global solar resource","elec_CSP","1",46,87,"supplemental info"
"water_td_elec_C","elec_CSP","1",69,87,"supplemental info"
"water_td_elec_W","elec_CSP","1",70,87,"supplemental info"
"global solar resource","elec_CSP_storage","1",46,88,"supplemental info"
"water_td_elec_C","elec_CSP_storage","1",69,88,"supplemental info"
"water_td_elec_W","elec_CSP_storage","1",70,88,"supplemental info"
"nuclearFuelGenIII","elec_Gen_III","1",45,84,"supplemental info"
"water_td_elec_C","elec_Gen_III","1",69,84,"supplemental info"
"water_td_elec_W","elec_Gen_III","1",70,84,"supplemental info"
"seawater","elec_Gen_III","1",71,84,"supplemental info"
"regional biomass","elec_biomass (IGCC)","1",41,77,"supplemental info"
"water_td_elec_C","elec_biomass (IGCC)","1",69,77,"supplemental info"
"water_td_elec_W","elec_biomass (IGCC)","1",70,77,"supplemental info"
"seawater","elec_biomass (IGCC)","1",71,77,"supplemental info"
"regional biomass","elec_biomass (conv)","1",41,78,"supplemental info"
"water_td_elec_C","elec_biomass (conv)","1",69,78,"supplemental info"
"water_td_elec_W","elec_biomass (conv)","1",70,78,"supplemental info"
"seawater","elec_biomass (conv)","1",71,78,"supplemental info"
"regional coal","elec_coal (IGCC)","1",42,79,"supplemental info"
"water_td_elec_C","elec_coal (IGCC)","1",69,79,"supplemental info"
"water_td_elec_W","elec_coal (IGCC)","1",70,79,"supplemental info"
"seawater","elec_coal (IGCC)","1",71,79,"supplemental info"
"regional coal","elec_coal (conv pul)","1",42,80,"supplemental info"
"water_td_elec_C","elec_coal (conv pul)","1",69,80,"supplemental info"
"water_td_elec_W","elec_coal (conv pul)","1",70,80,"supplemental info"
"seawater","elec_coal (conv pul)","1",71,80,"supplemental info"
"water_td_elec_C","elec_gas (CC)","1",69,81,"supplemental info"
"water_td_elec_W","elec_gas (CC)","1",70,81,"supplemental info"
"wholesale gas","elec_gas (CC)","1",53,81,"supplemental info"
"seawater","elec_gas (CC)","1",71,81,"supplemental info"
"water_td_elec_C","elec_gas (steam/CT)","1",69,82,"supplemental info"
"water_td_elec_W","elec_gas (steam/CT)","1",70,82,"supplemental info"
"wholesale gas","elec_gas (steam/CT)","1",53,82,"supplemental info"
"seawater","elec_gas (steam/CT)","1",71,82,"supplemental info"
"geothermal","elec_geothermal","1",72,83,"supplemental info"
"water_td_elec_C","elec_geothermal","1",69,83,"supplemental info"
"water_td_elec_W","elec_geothermal","1",70,83,"supplemental info"
"oil-credits","elec_refined liquids (CC)","1",73,85,"supplemental info"
"refined liquids industrial","elec_refined liquids (CC)","1",9,85,"supplemental info"
"water_td_elec_C","elec_refined liquids (CC)","1",69,85,"supplemental info"
"water_td_elec_W","elec_refined liquids (CC)","1",70,85,"supplemental info"
"seawater","elec_refined liquids (CC)","1",71,85,"supplemental info"
"oil-credits","elec_refined liquids (steam/CT)","1",73,86,"supplemental info"
"refined liquids industrial","elec_refined liquids (steam/CT)","1",9,86,"supplemental info"
"water_td_elec_C","elec_refined liquids (steam/CT)","1",69,86,"supplemental info"
"water_td_elec_W","elec_refined liquids (steam/CT)","1",70,86,"supplemental info"
"seawater","elec_refined liquids (steam/CT)","1",71,86,"supplemental info"
"electricity_net_ownuse","elect_td_bld","1",74,62,"supplemental info"
"backup_electricity","elect_td_bld","1",75,62,"supplemental info"
"distributed_solar","elect_td_bld","1",76,62,"supplemental info"
"electricity_net_ownuse","elect_td_ind","1",74,43,"supplemental info"
"electricity_net_ownuse","elect_td_trn","1",74,51,"supplemental info"
"elec_biomass (IGCC)","electricity","1",77,90,"supplemental info"
"elec_biomass (conv)","electricity","1",78,90,"supplemental info"
"elec_coal (IGCC)","electricity","1",79,90,"supplemental info"
"elec_coal (conv pul)","electricity","1",80,90,"supplemental info"
"elec_gas (CC)","electricity","1",81,90,"supplemental info"
