"from_name","to_name","level","from","to","title"
"biomass","traded biomass","1",59,60,"supplemental info"
"coal","traded coal","1",54,55,"supplemental info"
"crude oil","traded oil","1",56,57,"supplemental info"
"feedcrops","beef","1",73,107,"supplemental info"
"fodderherb_residue","beef","1",74,107,"supplemental info"
"pasture_foddergrass","beef","1",75,107,"supplemental info"
"scavenging_other","beef","1",76,107,"supplemental info"
"feedcrops","dairy","1",73,111,"supplemental info"
"fodderherb_residue","dairy","1",74,111,"supplemental info"
"pasture_foddergrass","dairy","1",75,111,"supplemental info"
"scavenging_other","dairy","1",76,111,"supplemental info"
"regional corn","feedcrops","1",77,73,"supplemental info"
"ddgs and feedcakes","feedcrops","1",78,73,"supplemental info"
"regional fibercrop","feedcrops","1",79,73,"supplemental info"
"regional fruits","feedcrops","1",80,73,"supplemental info"
"regional legumes","feedcrops","1",81,73,"supplemental info"
"regional misccrop","feedcrops","1",82,73,"supplemental info"
"regional nuts_seeds","feedcrops","1",83,73,"supplemental info"
"regional oilcrop","feedcrops","1",84,73,"supplemental info"
"regional oilpalm","feedcrops","1",85,73,"supplemental info"
"regional othergrain","feedcrops","1",86,73,"supplemental info"
"regional rice","feedcrops","1",87,73,"supplemental info"
"regional root_tuber","feedcrops","1",88,73,"supplemental info"
"regional soybean","feedcrops","1",89,73,"supplemental info"
"regional sugarcrop","feedcrops","1",90,73,"supplemental info"
"regional wheat","feedcrops","1",91,73,"supplemental info"
"fodderherb","fodderherb_residue","1",92,74,"supplemental info"
"residue","fodderherb_residue","1",93,74,"supplemental info"
"regional corn","nonfooddemand_crops","1",77,214,"supplemental info"
"regional fibercrop","nonfooddemand_crops","1",79,214,"supplemental info"
"regional fruits","nonfooddemand_crops","1",80,214,"supplemental info"
"regional legumes","nonfooddemand_crops","1",81,214,"supplemental info"
"regional misccrop","nonfooddemand_crops","1",82,214,"supplemental info"
"regional nuts_seeds","nonfooddemand_crops","1",83,214,"supplemental info"
"regional oilcrop","nonfooddemand_crops","1",84,214,"supplemental info"
"regional oilpalm","nonfooddemand_crops","1",85,214,"supplemental info"
"regional othergrain","nonfooddemand_crops","1",86,214,"supplemental info"
"regional rice","nonfooddemand_crops","1",87,214,"supplemental info"
"regional root_tuber","nonfooddemand_crops","1",88,214,"supplemental info"
"regional soybean","nonfooddemand_crops","1",89,214,"supplemental info"
"regional sugarcrop","nonfooddemand_crops","1",90,214,"supplemental info"
"regional vegetables","nonfooddemand_crops","1",94,214,"supplemental info"
"regional wheat","nonfooddemand_crops","1",91,214,"supplemental info"
"regional beef","nonfooddemand_meat","1",95,215,"supplemental info"
"regional dairy","nonfooddemand_meat","1",96,215,"supplemental info"
"othermeat_fish","nonfooddemand_meat","1",97,215,"supplemental info"
"regional pork","nonfooddemand_meat","1",98,215,"supplemental info"
"regional poultry","nonfooddemand_meat","1",99,215,"supplemental info"
"regional sheepgoat","nonfooddemand_meat","1",100,215,"supplemental info"
"foddergrass","pasture_foddergrass","1",101,75,"supplemental info"
"pasture","pasture_foddergrass","1",102,75,"supplemental info"
"feedcrops","pork","1",73,131,"supplemental info"
"fodderherb_residue","pork","1",74,131,"supplemental info"
"feedcrops","poultry","1",73,133,"supplemental info"
"fodderherb_residue","poultry","1",74,133,"supplemental info"
"scavenging_other_rsrc","scavenging_other","1",103,76,"supplemental info"
"feedcrops","sheepgoat","1",73,139,"supplemental info"
"fodderherb_residue","sheepgoat","1",74,139,"supplemental info"
"pasture_foddergrass","sheepgoat","1",75,139,"supplemental info"
"scavenging_other","sheepgoat","1",76,139,"supplemental info"
"limestone","cement","1",104,191,"supplemental info"
"scrap","iron and steel","1",105,117,"supplemental info"
"uranium","nuclearfuelgeniii","1",106,4,"supplemental info"
"beef","regional beef","1",107,95,"supplemental info"
"traded beef","regional beef","1",108,95,"supplemental info"
"regional oilcrop","regional biomassoil","1",84,50,"supplemental info"
"corn","regional corn","1",109,77,"supplemental info"
"traded corn","regional corn","1",110,77,"supplemental info"
"regional corn","regional corn for ethanol","1",77,51,"supplemental info"
"dairy","regional dairy","1",111,96,"supplemental info"
"traded dairy","regional dairy","1",112,96,"supplemental info"
"fibercrop","regional fibercrop","1",113,79,"supplemental info"
"traded fibercrop","regional fibercrop","1",114,79,"supplemental info"
"fruits","regional fruits","1",115,80,"supplemental info"
"traded fruits","regional fruits","1",116,80,"supplemental info"
"iron and steel","regional iron and steel","1",117,216,"supplemental info"
"traded iron and steel","regional iron and steel","1",118,216,"supplemental info"
"legumes","regional legumes","1",119,81,"supplemental info"
"traded legumes","regional legumes","1",120,81,"supplemental info"
"misccrop","regional misccrop","1",121,82,"supplemental info"
"traded misccrop","regional misccrop","1",122,82,"supplemental info"
"nutsseeds","regional nuts_seeds","1",123,83,"supplemental info"
"traded nuts_seeds","regional nuts_seeds","1",124,83,"supplemental info"
"oilcrop","regional oilcrop","1",125,84,"supplemental info"
"traded oilcrop","regional oilcrop","1",126,84,"supplemental info"
"oilpalm","regional oilpalm","1",127,85,"supplemental info"
"traded oilpalm","regional oilpalm","1",128,85,"supplemental info"
"othergrain","regional othergrain","1",129,86,"supplemental info"
"traded othergrain","regional othergrain","1",130,86,"supplemental info"
"pork","regional pork","1",131,98,"supplemental info"
"traded pork","regional pork","1",132,98,"supplemental info"
"poultry","regional poultry","1",133,99,"supplemental info"
"traded poultry","regional poultry","1",134,99,"supplemental info"
"rice","regional rice","1",135,87,"supplemental info"
"traded rice","regional rice","1",136,87,"supplemental info"
"roottuber","regional root_tuber","1",137,88,"supplemental info"
"traded root_tuber","regional root_tuber","1",138,88,"supplemental info"
"sheepgoat","regional sheepgoat","1",139,100,"supplemental info"
"traded sheepgoat","regional sheepgoat","1",140,100,"supplemental info"
"soybean","regional soybean","1",141,89,"supplemental info"
"traded soybean","regional soybean","1",142,89,"supplemental info"
"sugarcrop","regional sugarcrop","1",143,90,"supplemental info"
"traded sugarcrop","regional sugarcrop","1",144,90,"supplemental info"
"vegetables","regional vegetables","1",145,94,"supplemental info"
"traded vegetables","regional vegetables","1",146,94,"supplemental info"
"wheat","regional wheat","1",147,91,"supplemental info"
"traded wheat","regional wheat","1",148,91,"supplemental info"
"regional vegetables","feedcrops","1",94,73,"supplemental info"
"fodderherb","nonfooddemand_crops","1",92,214,"supplemental info"
"alumina","aluminum","1",149,205,"supplemental info"
"uranium","nuclearfuelgenii","1",106,67,"supplemental info"
"regional soybean","regional biomassoil","1",89,50,"supplemental info"
"regional sugarcrop","regional sugar for ethanol","1",90,69,"supplemental info"
"foddergrass","nonfooddemand_crops","1",101,214,"supplemental info"
"regional oilpalm","regional biomassoil","1",85,50,"supplemental info"
"beef","traded beef","1",107,108,"supplemental info"
"corn","traded corn","1",109,110,"supplemental info"
"dairy","traded dairy","1",111,112,"supplemental info"
"fibercrop","traded fibercrop","1",113,114,"supplemental info"
"fruits","traded fruits","1",115,116,"supplemental info"
"iron and steel","traded iron and steel","1",117,118,"supplemental info"
"legumes","traded legumes","1",119,120,"supplemental info"
"misccrop","traded misccrop","1",121,122,"supplemental info"
"nutsseeds","traded nuts_seeds","1",123,124,"supplemental info"
"oilcrop","traded oilcrop","1",125,126,"supplemental info"
"oilpalm","traded oilpalm","1",127,128,"supplemental info"
"othergrain","traded othergrain","1",129,130,"supplemental info"
"pork","traded pork","1",131,132,"supplemental info"
"poultry","traded poultry","1",133,134,"supplemental info"
"rice","traded rice","1",135,136,"supplemental info"
"roottuber","traded root_tuber","1",137,138,"supplemental info"
"sheepgoat","traded sheepgoat","1",139,140,"supplemental info"
"soybean","traded soybean","1",141,142,"supplemental info"
"sugarcrop","traded sugarcrop","1",143,144,"supplemental info"
"vegetables","traded vegetables","1",145,146,"supplemental info"
"wheat","traded wheat","1",147,148,"supplemental info"
"n fertilizer","corn","1",150,109,"supplemental info"
"n fertilizer","fibercrop","1",150,113,"supplemental info"
"n fertilizer","foddergrass","1",150,101,"supplemental info"
"n fertilizer","fodderherb","1",150,92,"supplemental info"
"n fertilizer","fruits","1",150,115,"supplemental info"
"n fertilizer","legumes","1",150,119,"supplemental info"
"n fertilizer","misccrop","1",150,121,"supplemental info"
"n fertilizer","nutsseeds","1",150,123,"supplemental info"
"n fertilizer","oilcrop","1",150,125,"supplemental info"
"n fertilizer","oilpalm","1",150,127,"supplemental info"
"n fertilizer","othergrain","1",150,129,"supplemental info"
"n fertilizer","rice","1",150,135,"supplemental info"
"n fertilizer","roottuber","1",150,137,"supplemental info"
"n fertilizer","soybean","1",150,141,"supplemental info"
"n fertilizer","sugarcrop","1",150,143,"supplemental info"
"n fertilizer","vegetables","1",150,145,"supplemental info"
"n fertilizer","wheat","1",150,147,"supplemental info"
"n fertilizer","biomass","1",150,59,"supplemental info"
"n fertilizer","exports_fertilizer","1",150,217,"supplemental info"
"offshore carbon-storage","carbon-storage","1",151,218,"supplemental info"
"onshore carbon-storage","carbon-storage","1",152,218,"supplemental info"
"regional forest","nonfooddemand_forest","1",153,219,"supplemental info"
"forest","regional forest","1",154,153,"supplemental info"
"traded forest","regional forest","1",155,153,"supplemental info"
"forest","traded forest","1",154,155,"supplemental info"
"desalinated water","x_desalinated water","1",156,173,"supplemental info"
"water_td_an_c","beef","1",157,107,"supplemental info"
"water_td_an_w","beef","1",158,107,"supplemental info"
"biophysical water consumption","corn","1",159,109,"supplemental info"
"water_td_irr_x_c","corn","1",160,109,"supplemental info"
"water_td_irr_x_w","corn","1",161,109,"supplemental info"
"water_td_an_c","dairy","1",157,111,"supplemental info"
"water_td_an_w","dairy","1",158,111,"supplemental info"
"biophysical water consumption","fibercrop","1",159,113,"supplemental info"
"water_td_irr_x_c","fibercrop","1",160,113,"supplemental info"
"water_td_irr_x_w","fibercrop","1",161,113,"supplemental info"
"biophysical water consumption","fodderherb","1",159,92,"supplemental info"
"water_td_irr_x_c","fodderherb","1",160,92,"supplemental info"
"water_td_irr_x_w","fodderherb","1",161,92,"supplemental info"
"biophysical water consumption","fruits","1",159,115,"supplemental info"
"water_td_irr_x_c","fruits","1",160,115,"supplemental info"
"water_td_irr_x_w","fruits","1",161,115,"supplemental info"
"water_td_ind_c","h2 central production","1",162,8,"supplemental info"
"water_td_ind_w","h2 central production","1",163,8,"supplemental info"
"water_td_ind_c","h2 industrial","1",162,15,"supplemental info"
"water_td_ind_w","h2 industrial","1",163,15,"supplemental info"
"water_td_ind_c","h2 wholesale dispensing","1",162,9,"supplemental info"
"water_td_ind_w","h2 wholesale dispensing","1",163,9,"supplemental info"
"biophysical water consumption","legumes","1",159,119,"supplemental info"
"water_td_irr_x_c","legumes","1",160,119,"supplemental info"
"water_td_irr_x_w","legumes","1",161,119,"supplemental info"
"biophysical water consumption","misccrop","1",159,121,"supplemental info"
"water_td_irr_x_c","misccrop","1",160,121,"supplemental info"
"water_td_irr_x_w","misccrop","1",161,121,"supplemental info"
"biophysical water consumption","nutsseeds","1",159,123,"supplemental info"
"water_td_irr_x_c","nutsseeds","1",160,123,"supplemental info"
"water_td_irr_x_w","nutsseeds","1",161,123,"supplemental info"
"biophysical water consumption","oilcrop","1",159,125,"supplemental info"
"water_td_irr_x_c","oilcrop","1",160,125,"supplemental info"
"water_td_irr_x_w","oilcrop","1",161,125,"supplemental info"
"biophysical water consumption","oilpalm","1",159,127,"supplemental info"
"biophysical water consumption","othergrain","1",159,129,"supplemental info"
"water_td_irr_x_c","othergrain","1",160,129,"supplemental info"
"water_td_irr_x_w","othergrain","1",161,129,"supplemental info"
"water_td_an_c","pork","1",157,131,"supplemental info"
"water_td_an_w","pork","1",158,131,"supplemental info"
"water_td_an_c","poultry","1",157,133,"supplemental info"
"water_td_an_w","poultry","1",158,133,"supplemental info"
"biophysical water consumption","rice","1",159,135,"supplemental info"
"water_td_irr_x_c","rice","1",160,135,"supplemental info"
"water_td_irr_x_w","rice","1",161,135,"supplemental info"
"biophysical water consumption","roottuber","1",159,137,"supplemental info"
"water_td_irr_x_c","roottuber","1",160,137,"supplemental info"
"water_td_irr_x_w","roottuber","1",161,137,"supplemental info"
"water_td_an_c","sheepgoat","1",157,139,"supplemental info"
"water_td_an_w","sheepgoat","1",158,139,"supplemental info"
"biophysical water consumption","soybean","1",159,141,"supplemental info"
"water_td_irr_x_c","soybean","1",160,141,"supplemental info"
"water_td_irr_x_w","soybean","1",161,141,"supplemental info"
"biophysical water consumption","sugarcrop","1",159,143,"supplemental info"
"water_td_irr_x_c","sugarcrop","1",160,143,"supplemental info"
"water_td_irr_x_w","sugarcrop","1",161,143,"supplemental info"
"biophysical water consumption","vegetables","1",159,145,"supplemental info"
"water_td_irr_x_c","vegetables","1",160,145,"supplemental info"
"water_td_irr_x_w","vegetables","1",161,145,"supplemental info"
"biophysical water consumption","wheat","1",159,147,"supplemental info"
"water_td_irr_x_c","wheat","1",160,147,"supplemental info"
