"label","level","id","title_long","title","label_logits","label_nologits"
"elect_td_ind",1,1,"elect_td_ind","Logit: -3","elect_td_ind: -3","elect_td_ind"
"regional biomass",1,2,"regional biomass","Logit: NA","regional biomass: NA","regional biomass"
"regional natural gas",1,3,"regional natural gas","Logit: NA","regional natural gas: NA","regional natural gas"
"nuclearfuelgeniii",1,4,"nuclearfuelgeniii","Logit: NA","nuclearfuelgeniii: NA","nuclearfuelgeniii"
"global solar resource",1,5,"global solar resource","Logit: NA","global solar resource: NA","global solar resource"
"onshore wind resource",1,6,"onshore wind resource","Logit: NA","onshore wind resource: NA","onshore wind resource"
"h2 wholesale delivery",1,7,"h2 wholesale delivery","Logit: NA","h2 wholesale delivery: NA","h2 wholesale delivery"
"h2 central production",1,8,"h2 central production","Logit: NA","h2 central production: NA","h2 central production"
"h2 wholesale dispensing",1,9,"h2 wholesale dispensing","Logit: NA","h2 wholesale dispensing: NA","h2 wholesale dispensing"
"h2 liquid truck",1,10,"h2 liquid truck","Logit: NA","h2 liquid truck: NA","h2 liquid truck"
"h2 pipeline",1,11,"h2 pipeline","Logit: NA","h2 pipeline: NA","h2 pipeline"
"elect_td_trn",1,12,"elect_td_trn","Logit: -3","elect_td_trn: -3","elect_td_trn"
"delivered gas",1,13,"delivered gas","Logit: -3","delivered gas: -3","delivered gas"
"wholesale gas",1,14,"wholesale gas","Logit: -3","wholesale gas: -3","wholesale gas"
"h2 industrial",1,15,"h2 industrial","Logit: NA","h2 industrial: NA","h2 industrial"
"refined liquids industrial",1,16,"refined liquids industrial","Logit: -3","refined liquids industrial: -3","refined liquids industrial"
"delivered biomass",1,17,"delivered biomass","Logit: -3","delivered biomass: -3","delivered biomass"
"bio_externality_cost",1,18,"bio_externality_cost","Logit: NA","bio_externality_cost: NA","bio_externality_cost"
"process heat cement",1,19,"process heat cement","Logit: -3","process heat cement: -3","process heat cement"
"elect_td_bld",1,20,"elect_td_bld","Logit: -6","elect_td_bld: -6","elect_td_bld"
"delivered coal",1,21,"delivered coal","Logit: -3","delivered coal: -3","delivered coal"
"refined liquids enduse",1,22,"refined liquids enduse","Logit: -3","refined liquids enduse: -3","refined liquids enduse"
"h2 retail delivery",1,23,"h2 retail delivery","Logit: NA","h2 retail delivery: NA","h2 retail delivery"
"construction energy use",1,24,"construction energy use","Logit: 0","construction energy use: 0","construction energy use"
"construction feedstocks",1,25,"construction feedstocks","Logit: -3","construction feedstocks: -3","construction feedstocks"
"regional coal",1,26,"regional coal","Logit: -3","regional coal: -3","regional coal"
"gas pipeline",1,27,"gas pipeline","Logit: -3","gas pipeline: -3","gas pipeline"
"geothermal",1,28,"geothermal","Logit: NA","geothermal: NA","geothermal"
"oil-credits",1,29,"oil-credits","Logit: NA","oil-credits: NA","oil-credits"
"electricity_net_ownuse",1,30,"electricity_net_ownuse","Logit: -3","electricity_net_ownuse: -3","electricity_net_ownuse"
"backup_electricity",1,31,"backup_electricity","Logit: -3","backup_electricity: -3","backup_electricity"
"distributed_solar",1,32,"distributed_solar","Logit: NA","distributed_solar: NA","distributed_solar"
"elec_biomass (igcc)",1,33,"elec_biomass (igcc)","Logit: NA","elec_biomass (igcc): NA","elec_biomass (igcc)"
"elec_biomass (conv)",1,34,"elec_biomass (conv)","Logit: -10","elec_biomass (conv): -10","elec_biomass (conv)"
"elec_coal (igcc)",1,35,"elec_coal (igcc)","Logit: NA","elec_coal (igcc): NA","elec_coal (igcc)"
"elec_coal (conv pul)",1,36,"elec_coal (conv pul)","Logit: -10","elec_coal (conv pul): -10","elec_coal (conv pul)"
"elec_gas (cc)",1,37,"elec_gas (cc)","Logit: NA","elec_gas (cc): NA","elec_gas (cc)"
"elec_gas (steam/ct)",1,38,"elec_gas (steam/ct)","Logit: NA","elec_gas (steam/ct): NA","elec_gas (steam/ct)"
"elec_geothermal",1,39,"elec_geothermal","Logit: -6","elec_geothermal: -6","elec_geothermal"
"elec_gen_iii",1,40,"elec_gen_iii","Logit: NA","elec_gen_iii: NA","elec_gen_iii"
"elec_refined liquids (cc)",1,41,"elec_refined liquids (cc)","Logit: NA","elec_refined liquids (cc): NA","elec_refined liquids (cc)"
