"label","level","id","title_long","title","label_logits","label_nologits"
"Forest",1,1,"Forest","Logit: -3","Forest: -3","Forest"
"wholesale gas",1,2,"wholesale gas","Logit: -3","wholesale gas: -3","wholesale gas"
"refined liquids industrial",1,3,"refined liquids industrial","Logit: -3","refined liquids industrial: -3","refined liquids industrial"
"elect_td_ind",1,4,"elect_td_ind","Logit: -3","elect_td_ind: -3","elect_td_ind"
"process heat cement",1,5,"process heat cement","Logit: -3","process heat cement: -3","process heat cement"
"elect_td_bld",1,6,"elect_td_bld","Logit: -6","elect_td_bld: -6","elect_td_bld"
"delivered coal",1,7,"delivered coal","Logit: -3","delivered coal: -3","delivered coal"
"refined liquids enduse",1,8,"refined liquids enduse","Logit: -6","refined liquids enduse: -6","refined liquids enduse"
"delivered biomass",1,9,"delivered biomass","Logit: -3","delivered biomass: -3","delivered biomass"
"delivered gas",1,10,"delivered gas","Logit: -3","delivered gas: -3","delivered gas"
"regional corn for ethanol",1,11,"regional corn for ethanol","Logit: -3","regional corn for ethanol: -3","regional corn for ethanol"
"regional biomass",1,12,"regional biomass","Logit: NA","regional biomass: NA","regional biomass"
"regional coal",1,13,"regional coal","Logit: -3","regional coal: -3","regional coal"
"gas pipeline",1,14,"gas pipeline","Logit: -3","gas pipeline: -3","gas pipeline"
"csp_backup",1,15,"csp_backup","Logit: -3","csp_backup: -3","csp_backup"
"global solar resource",1,16,"global solar resource","Logit: NA","global solar resource: NA","global solar resource"
"nuclearFuelGenIII",1,17,"nuclearFuelGenIII","Logit: -3","nuclearFuelGenIII: -3","nuclearFuelGenIII"
"geothermal",1,18,"geothermal","Logit: NA","geothermal: NA","geothermal"
"oil-credits",1,19,"oil-credits","Logit: NA","oil-credits: NA","oil-credits"
"electricity_net_ownuse",1,20,"electricity_net_ownuse","Logit: -3","electricity_net_ownuse: -3","electricity_net_ownuse"
"backup_electricity",1,21,"backup_electricity","Logit: -3","backup_electricity: -3","backup_electricity"
"distributed_solar",1,22,"distributed_solar","Logit: NA","distributed_solar: NA","distributed_solar"
"elec_biomass (conv)",1,23,"elec_biomass (conv)","Logit: -10","elec_biomass (conv): -10","elec_biomass (conv)"
"elec_biomass (IGCC)",1,24,"elec_biomass (IGCC)","Logit: -10","elec_biomass (IGCC): -10","elec_biomass (IGCC)"
"elec_coal (conv pul)",1,25,"elec_coal (conv pul)","Logit: -10","elec_coal (conv pul): -10","elec_coal (conv pul)"
"elec_coal (IGCC)",1,26,"elec_coal (IGCC)","Logit: -10","elec_coal (IGCC): -10","elec_coal (IGCC)"
"elec_gas (CC)",1,27,"elec_gas (CC)","Logit: -10","elec_gas (CC): -10","elec_gas (CC)"
"elec_gas (steam/CT)",1,28,"elec_gas (steam/CT)","Logit: -10","elec_gas (steam/CT): -10","elec_gas (steam/CT)"
"elec_geothermal",1,29,"elec_geothermal","Logit: -6","elec_geothermal: -6","elec_geothermal"
"elec_Gen_III",1,30,"elec_Gen_III","Logit: NA","elec_Gen_III: NA","elec_Gen_III"
"elec_refined liquids (CC)",1,31,"elec_refined liquids (CC)","Logit: -10","elec_refined liquids (CC): -10","elec_refined liquids (CC)"
"elec_refined liquids (steam/CT)",1,32,"elec_refined liquids (steam/CT)","Logit: -10","elec_refined liquids (steam/CT): -10","elec_refined liquids (steam/CT)"
